보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
기술조사,1983,등록53019호(석회석)광산기술조사보고서,등록53019호,석회석,"전라북도임실군임실읍,전라북도임실군청웅면",갈담_006,83의-014
기술조사,1983,대성울진(석회석)광산기술조사보고서,대성울진,석회석,"경상북도울진군근남면,경상북도울진군원남면","울진_064,울진_074,울진_075,울진_086",83의-013
기술조사,1983,백암(규석)광산기술조사보고서,백암,규석,전라북도진안군백운면,진안_039,83의-012
기술조사,1983,한국(석회석)광산기술조사보고서,한국,석회석,경상북도청송군파천면,"청송_133,청송_134",83의-011
기술조사,1983,동양(활석)광산기술조사보고서,동양,활석,충청북도제천시청풍면,,83의-010
기술조사,1983,신덕(중정석)광산기술조사보고서,신덕,중정석,경상남도합천군봉산면계산리,합천_115,83의-009
기술조사,1983,태웅(납석)광산기술조사보고서,태웅,"고령토,납석",경상북도경주시산내면,모량_116,83의-008
기술조사,1983,청라(활석)광산기술조사보고서,청라,활석,충청남도보령시청라면,"대천_036,대천_046",83의-007
기술조사,1983,석곡(석회석)광산기술조사보고서,석곡,석회석,강원도정선군화암면,"임계_129,임계_139,임계_149",83의-006
기술조사,1983,원성(석회석)광산기술조사보고서,원성,석회석,"강원도영월군수주면,강원도영월군주천면",영월_123,83의-005
기술조사,1983,의창(규조토)광산기술조사보고서,의창,규조토,경상북도포항시북구흥해읍,"포항_104,포항_115",83의-004
기술조사,1983,쌍암(규석)광산기술조사보고서,쌍암,규석,전라북도장수군계북면,장계_104,83의-003
기술조사,1983,"동아금주(규석,형석)광산기술조사보고서",동아금주,"규석,형석",경기도포천시이동면,,83의-002
기술조사,1983,무주(장석)광산기술조사보고서,무주,장석,전라북도무주군부남면,장기리_097,83의-001
굴진효과조사,1983,죽장(운모)광산굴진효과조사보고서,죽장,운모,경상북도포항시북구죽장면,,83굴-002
굴진효과조사,1983,미산(규석)광산굴진효과조사보고서,미산,규석,"충청남도보령시미산면평라리,충청남도보령시주산면동오리",,83굴-001
시추결과,1983,"영일(금,은)광산시추결과보고서",영일광산,"금,동,망간,아연,은,철",경상북도포항시남구오천읍,,83시-051
시추결과,1983,충주(철)광산시추결과보고서,충주철광,철,충청북도충주시대소원면,,83시-050
시추결과,1983,"삼보(연,아연)광산시추결과보고서",삼보광산,"아연,연,중정석",경기도화성시봉담읍,,83시-049
